timestamp,ip_address,request_details,status_code,bytes_sent,referer,user_agent,is_anomaly,,,
[27/Dec/2037:12:00:00 +0530],162.253.4.179,GET /usr/admin/developer HTTP/1.0,200,5041,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",0,,,
[27/Dec/2022:12:00:00 +0530],233.223.117.90,DELETE /usr/admin HTTP/1.0,502,4963,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1,,,
[27/Dec/2022:12:00:00 +0530],252.156.232.172,POST /usr/register HTTP/1.0,404,5028,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1,,,
[27/Dec/2022:12:00:00 +0530],182.215.249.159,PUT /usr/register HTTP/1.0,304,4936,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,0,,,
[27/Dec/2022:12:00:00 +0530],160.36.208.51,POST /usr HTTP/1.0,304,4979,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",0,,,
[27/Dec/2022:12:00:00 +0530],255.231.52.33,PUT /usr/admin/developer HTTP/1.0,403,5054,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1,,,
[27/Dec/2022:12:00:00 +0530],238.217.83.154,DELETE /usr/register HTTP/1.0,304,5152,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",0,,,
[27/Dec/2022:12:00:00 +0530],119.170.1.203,GET /usr HTTP/1.0,303,5011,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",0,,,
[27/Dec/2022:12:00:00 +0530],59.107.116.6,POST /usr HTTP/1.0,502,5008,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1,,,
[27/Dec/2022:12:00:00 +0530],137.196.118.126,DELETE /usr/admin HTTP/1.0,500,4960,,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1,,,
[27/Dec/2022:12:00:00 +0530],26.167.128.186,PUT /usr/admin/developer HTTP/1.0,502,5060,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1,,, 
[27/Dec/2022:12:00:00 +0530],144.140.97.239,PUT /usr HTTP/1.0,500,4881,,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36 OPR/61.2.3076.56749",1,,,
[27/Dec/2022:12:00:00 +0530],86.194.222.239,PUT /usr HTTP/1.0,500,4881,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1,,,
[27/Dec/2022:12:00:00 +0530],226.208.16.190,PUT /usr/register HTTP/1.0,500,5043,,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",0,,,
[27/Dec/2022:12:00:00 +0530],204.34.245.97,PUT /usr/register HTTP/1.0,502,4917,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,0,,,
[27/Dec/2022:12:00:00 +0530],66.221.171.61,GET /usr/login HTTP/1.0,403,4976,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",0,,,
[27/Dec/2022:12:01:00 +0530],144.85.122.244,GET /usr/admin HTTP/1.0,200,4976,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",0,,,
